M  Id	I  Id	I  Status
aka	fat	A
aka	twi	A
ara	shu	A
ara	ssh	A
ara	abh	A
ara	abv	A
ara	acm	A
ara	acq	A
ara	acw	A
ara	acx	A
ara	acy	A
ara	adf	A
ara	aeb	A
ara	aec	A
ara	afb	A
ara	apc	A
ara	apd	A
ara	arb	A
ara	arq	A
ara	ars	A
ara	ary	A
ara	arz	A
ara	auz	A
ara	avl	A
ara	ajp	R
ara	ayh	A
ara	ayl	A
ara	ayn	A
ara	ayp	A
ara	bbz	R
ara	aao	A
ara	pga	A
aym	ayr	A
aym	ayc	A
aze	azb	A
aze	azj	A
bal	bgn	A
bal	bgp	A
bal	bcc	A
bik	bcl	A
bik	bhk	R
bik	bln	A
bik	bto	A
bik	cts	A
bik	fbl	A
bik	rbl	A
bik	lbl	A
bik	ubl	A
bnc	rbk	A
bnc	vbk	A
bnc	lbk	A
bnc	obk	A
bnc	ebk	A
bua	bxm	A
bua	bxr	A
bua	bxu	A
chm	mhr	A
chm	mrj	A
cre	cwd	A
cre	crj	A
cre	crk	A
cre	crl	A
cre	crm	A
cre	csw	A
del	umu	A
del	unm	A
den	scs	A
den	xsl	A
din	dib	A
din	dik	A
din	dip	A
din	diw	A
din	dks	A
doi	dgo	A
doi	xnr	A
est	vro	A
est	ekk	A
fas	pes	A
fas	prs	A
ful	ffm	A
ful	fub	A
ful	fuc	A
ful	fue	A
ful	fuf	A
ful	fuh	A
ful	fui	A
ful	fuq	A
ful	fuv	A
gba	gbp	A
gba	gbq	A
gba	gmm	A
gba	gso	A
gba	bdt	A
gba	mdo	R
gba	gya	A
gon	gno	A
gon	ggo	R
gon	esg	A
gon	wsg	A
grb	gbo	A
grb	gec	A
grb	grj	A
grb	grv	A
grb	gry	A
grn	gnw	A
grn	gug	A
grn	gui	A
grn	gun	A
grn	nhd	A
hai	hax	A
hai	hdn	A
hbs	cnr	A
hbs	bos	A
hbs	hrv	A
hbs	srp	A
hmn	sfm	A
hmn	hrm	A
hmn	hnj	A
hmn	huj	A
hmn	mmr	A
hmn	muq	A
hmn	mww	A
hmn	blu	R
hmn	cqd	A
hmn	hea	A
hmn	hma	A
hmn	hmc	A
hmn	hmd	A
hmn	hme	A
hmn	hmg	A
hmn	hmh	A
hmn	hmi	A
hmn	hmj	A
hmn	hml	A
hmn	hmm	A
hmn	hmp	A
hmn	hmq	A
hmn	hms	A
hmn	hmw	A
hmn	hmy	A
hmn	hmz	A
iku	ike	A
iku	ikt	A
ipk	esi	A
ipk	esk	A
jrb	ajt	R
jrb	aju	A
jrb	jye	A
jrb	yhd	A
jrb	yud	A
kau	kby	A
kau	knc	A
kau	krt	A
kln	niq	A
kln	oki	A
kln	pko	A
kln	eyo	A
kln	enb	A
kln	sgc	A
kln	spy	A
kln	tec	A
kln	tuy	A
kok	gom	A
kok	knn	A
kom	koi	A
kom	kpv	A
kon	kng	A
kon	kwy	A
kon	ldi	A
kpe	gkp	A
kpe	xpe	A
kur	sdh	A
kur	kmr	A
kur	ckb	A
lah	hnd	A
lah	hno	A
lah	jat	A
lah	phr	A
lah	pmu	R
lah	pnb	A
lah	skr	A
lah	xhe	A
lav	ltg	A
lav	lvs	A
luy	lwg	A
luy	lto	A
luy	lts	A
luy	lkb	A
luy	lko	A
luy	lks	A
luy	lri	A
luy	lrm	A
luy	lsm	A
luy	ida	A
luy	nle	A
luy	nyd	A
luy	bxk	A
luy	rag	A
man	emk	A
man	myq	R
man	mwk	A
man	mnk	A
man	mku	A
man	mlq	A
man	msc	A
mlg	msh	A
mlg	plt	A
mlg	bmm	A
mlg	bhr	A
mlg	bjq	R
mlg	bzc	A
mlg	skg	A
mlg	tdx	A
mlg	tkg	A
mlg	xmv	A
mlg	xmw	A
mlg	txy	A
mon	mvf	A
mon	khk	A
msa	lce	A
msa	lcf	A
msa	kxd	A
msa	kvb	A
msa	kvr	A
msa	jax	A
msa	ind	A
msa	jak	A
msa	max	A
msa	mqg	A
msa	mui	A
msa	msi	A
msa	mly	R
msa	liw	A
msa	min	A
msa	meo	A
msa	mfa	A
msa	mfb	A
msa	pel	A
msa	orn	A
msa	ors	A
msa	pse	A
msa	bve	A
msa	bvu	A
msa	bjn	A
msa	btj	A
msa	coa	A
msa	dup	A
msa	hji	A
msa	vkk	A
msa	vkt	A
msa	xmm	A
msa	tmw	A
msa	urk	A
msa	zlm	A
msa	zmi	A
msa	zsm	A
mwr	wry	A
mwr	swv	A
mwr	rwr	A
mwr	dhd	A
mwr	mtr	A
mwr	mve	A
nep	npi	A
nep	dty	A
nor	nno	A
nor	nob	A
oji	ojb	A
oji	ojc	A
oji	ojg	A
oji	ojs	A
oji	ojw	A
oji	otw	A
oji	ciw	A
ori	ory	A
ori	spv	A
orm	orc	A
orm	hae	A
orm	gax	A
orm	gaz	A
pus	pbt	A
pus	pbu	A
pus	pst	A
que	qub	A
que	qud	A
que	quf	A
que	qug	A
que	quh	A
que	quk	A
que	qul	A
que	qup	A
que	qur	A
que	qus	A
que	quw	A
que	qux	A
que	quy	A
que	quz	A
que	qva	A
que	qvc	A
que	qve	A
que	qvh	A
que	qvi	A
que	qvj	A
que	qvl	A
que	qvm	A
que	qvn	A
que	qvo	A
que	qvp	A
que	qvs	A
que	qvw	A
que	qvz	A
que	qwa	A
que	qwc	A
que	qwh	A
que	qws	A
que	qxa	A
que	qxc	A
que	qxh	A
que	qxl	A
que	qxn	A
que	qxo	A
que	qxp	A
que	qxr	A
que	qxt	A
que	qxu	A
que	qxw	A
que	cqu	R
raj	bgq	A
raj	gda	A
raj	gju	A
raj	hoj	A
raj	mup	A
raj	wbr	A
rom	rmc	A
rom	rmf	A
rom	rml	A
rom	rmn	A
rom	rmo	A
rom	rmw	A
rom	rmy	A
sqi	aat	A
sqi	aln	A
sqi	als	A
sqi	aae	A
srd	src	A
srd	sro	A
srd	sdn	A
srd	sdc	A
swa	swc	A
swa	swh	A
syr	cld	A
syr	aii	A
tmh	taq	A
tmh	thv	A
tmh	thz	A
tmh	ttq	A
uzb	uzn	A
uzb	uzs	A
yid	ydd	A
yid	yih	A
zap	zsr	A
zap	ztc	R
zap	zte	A
zap	ztg	A
zap	ztl	A
zap	ztm	A
zap	ztn	A
zap	ztp	A
zap	ztq	A
zap	zts	A
zap	ztt	A
zap	ztu	A
zap	ztx	A
zap	zty	A
zap	zoo	A
zap	zpa	A
zap	zpb	A
zap	zpc	A
zap	zpd	A
zap	zpe	A
zap	zpf	A
zap	zpg	A
zap	zph	A
zap	zpi	A
zap	zpj	A
zap	zpk	A
zap	zpl	A
zap	zpm	A
zap	zpn	A
zap	zpo	A
zap	zpp	A
zap	zpq	A
zap	zpr	A
zap	zps	A
zap	zpt	A
zap	zpu	A
zap	zpv	A
zap	zpw	A
zap	zpx	A
zap	zpy	A
zap	zpz	A
zap	zaa	A
zap	zab	A
zap	zac	A
zap	zad	A
zap	zae	A
zap	zaf	A
zap	zai	A
zap	zam	A
zap	zao	A
zap	zaq	A
zap	zar	A
zap	zas	A
zap	zat	A
zap	zav	A
zap	zaw	A
zap	zax	A
zap	zca	A
zap	zcd	A
zha	zch	A
zha	zeh	A
zha	zgb	A
zha	zgm	A
zha	zgn	A
zha	zhd	A
zha	zhn	A
zha	zlj	A
zha	zqe	A
zha	zyb	A
zha	zyg	A
zha	zyj	A
zha	zyn	A
zha	zzj	A
zha	zln	A
zha	zlq	A
zha	ccx	R
zha	ccy	R
zho	cdo	A
zho	cjy	A
zho	cmn	A
zho	cnp	A
zho	cpx	A
zho	csp	A
zho	czh	A
zho	czo	A
zho	gan	A
zho	nan	A
zho	mnp	A
zho	lzh	A
zho	hak	A
zho	hsn	A
